,statement,encoding
444,"41**Z@t=226 == 37/yHECd_XyI@t=(506,732)","[4, 7, 3, 1, 4, 6, 4, 7, 3, 1, 5]"
445,_Uq*93@t=198 != i___IJ_phz@t=7+10,"[3, 7, 4, 1, 4, 6, 3, 1, 4, 7, 4]"
446,"93-___ngrlj_@t=(232,849) != SSR_lnb@t=(56,656)","[4, 7, 3, 1, 5, 6, 3, 1, 5]"
447,"min n_x@t=(10,683) != 83-DXiX@t=(207,879)","[2, 3, 1, 5, 6, 4, 7, 3, 1, 5]"
448,"_swkz_*9@t=813 != hMdOdge@t=(359,430)","[3, 7, 4, 1, 4, 6, 3, 1, 5]"
449,"orEid@t=(316,586) != eNU_@t=(404,567)","[3, 1, 5, 6, 3, 1, 5]"
450,o_Y_VVa@t=72-36 != AWusktQG@t=504*26,"[3, 1, 4, 7, 4, 6, 3, 1, 4, 7, 4]"
451,"AZmccdlaca@t=(747,878) >= B*43@t=820","[3, 1, 5, 6, 3, 7, 4, 1, 4]"
452,"93/_G@t=(364,968) < 59**CaXnZ@t=(316,825)","[4, 7, 3, 1, 5, 6, 4, 7, 3, 1, 5]"
453,"NU_xwEP_vA@t=(262,432)*96 > Jy_@t=(34,559)","[3, 1, 5, 7, 4, 6, 3, 1, 5]"
454,"X_bojW@t=130 > 62+bYWj@t=(459,577)","[3, 1, 4, 6, 4, 7, 3, 1, 5]"
455,_gFj_Jetc_@t=821 == sblhZtX@t=270,"[3, 1, 4, 6, 3, 1, 4]"
456,"h__f/32@t=(193,341) <= 2+B__U_ryrD@t=(390,735)","[3, 7, 4, 1, 5, 6, 4, 7, 3, 1, 5]"
457,"mean L_tLY@t=(300,598) < Ue@t=126-4","[2, 3, 1, 5, 6, 3, 1, 4, 7, 4]"
458,24-ge_hTJ@t=500 > 71-ST@t=258,"[4, 7, 3, 1, 4, 6, 4, 7, 3, 1, 4]"
459,"44+i_dmFrxrb@t=189 < xuPVvo@t=(366,593)","[4, 7, 3, 1, 4, 6, 3, 1, 5]"
460,"jCXc_Y@t=(274,551) >= Aq_K@t=(401,866)","[3, 1, 5, 6, 3, 1, 5]"
461,"min qAeor_jWj@t=(433,513) >= EAwaDAAU_/75@t=(715,992)","[2, 3, 1, 5, 6, 3, 7, 4, 1, 5]"
462,"FjEFVrdz@t=(296,700) == s@t=717","[3, 1, 5, 6, 3, 1, 4]"
463,"20-jt_Le@t=(316,443) <= 98/_@t=(418,664)","[4, 7, 3, 1, 5, 6, 4, 7, 3, 1, 5]"
464,"99**sDbWwBJP__@t=(176,447) == 50**CnRulei@t=(147,637)","[4, 7, 3, 1, 5, 6, 4, 7, 3, 1, 5]"
465,"aKBc_v*14@t=(233,587) <= mean RthSy@t=(708,926)","[3, 7, 4, 1, 5, 6, 2, 3, 1, 5]"
466,"51-wJmFK@t=(156,503) < AtSelW__QS/42@t=252","[4, 7, 3, 1, 5, 6, 3, 7, 4, 1, 4]"
467,"MXT_Bf@t=(517,845)+89 != all _EujSorOpu@t=(481,638)","[3, 1, 5, 7, 4, 6, 2, 3, 1, 5]"
468,RyiVsnQi_@t=708**37 == _ib/11@t=652,"[3, 1, 4, 7, 4, 6, 3, 7, 4, 1, 4]"
469,"CmPnvo@t=(234,259) == K@t=851","[3, 1, 5, 6, 3, 1, 4]"
470,"88-SeeXoz_DFA@t=634 >= mean uoO@t=(530,768)","[4, 7, 3, 1, 4, 6, 2, 3, 1, 5]"
471,"PZscf_CP__@t=957 != T_@t=(356,839)**97","[3, 1, 4, 6, 3, 1, 5, 7, 4]"
472,79-f@t=690 <= hpfw_sX_At@t=270/93,"[4, 7, 3, 1, 4, 6, 3, 1, 4, 7, 4]"
473,"M_hMrGTic@t=(223,603) >= 8**jnu@t=(452,697)","[3, 1, 5, 6, 4, 7, 3, 1, 5]"
474,"i@t=(48,689)**75 <= BaX@t=511","[3, 1, 5, 7, 4, 6, 3, 1, 4]"
475,"G_LfucM_Cd-69@t=(45,485) != hkWWObsfL@t=453","[3, 7, 4, 1, 5, 6, 3, 1, 4]"
476,"min _dQQ@t=(317,833) <= ea_jH_ZHZ@t=(233,543)","[2, 3, 1, 5, 6, 3, 1, 5]"
477,"MZjiOxb@t=(231,349)-20 <= Jl_o/3@t=341","[3, 1, 5, 7, 4, 6, 3, 7, 4, 1, 4]"
478,"59*C@t=22 != 81+ToeWQz_@t=(222,968)","[4, 7, 3, 1, 4, 6, 4, 7, 3, 1, 5]"
479,"mean a@t=(260,283) != gJ_uz@t=519","[2, 3, 1, 5, 6, 3, 1, 4]"
480,"kQeF_mgn_@t=914-8 <= max vidPByRlV@t=(475,921)","[3, 1, 4, 7, 4, 6, 2, 3, 1, 5]"
481,65+IVUwVYwWNH@t=907 != UkA__j_JJ/83@t=315,"[4, 7, 3, 1, 4, 6, 3, 7, 4, 1, 4]"
482,"min ZMN@t=(364,805) != j___Y@t=156","[2, 3, 1, 5, 6, 3, 1, 4]"
483,jHztZYpf@t=997 > _IeiqBERL*76@t=172,"[3, 1, 4, 6, 3, 7, 4, 1, 4]"
484,C_uznk_@t=866 >= p@t=448,"[3, 1, 4, 6, 3, 1, 4]"
485,"min _KeS@t=(257,520) != 74**PINyH@t=(614,963)","[2, 3, 1, 5, 6, 4, 7, 3, 1, 5]"
486,"jMJmQ*78@t=(680,860) != ZKPAuM_hGu**64@t=(900,940)","[3, 7, 4, 1, 5, 6, 3, 7, 4, 1, 5]"
487,f@t=521*98 == T@t=917/1,"[3, 1, 4, 7, 4, 6, 3, 1, 4, 7, 4]"
488,"eJgr/36@t=(183,807) >= q_y+87@t=(665,985)","[3, 7, 4, 1, 5, 6, 3, 7, 4, 1, 5]"
489,"_bsB@t=(622,896) <= jSWe_cDEmg@t=259/38","[3, 1, 5, 6, 3, 1, 4, 7, 4]"
490,"57**X_MiyVu@t=(422,509) > 76*oHL_@t=996","[4, 7, 3, 1, 5, 6, 4, 7, 3, 1, 4]"
491,"T_T__HJjA_@t=128-93 != WdHA_W_gq@t=(499,708)","[3, 1, 4, 7, 4, 6, 3, 1, 5]"
492,"40**DvIK_Dd@t=(304,699) <= IKDXY-27@t=430","[4, 7, 3, 1, 5, 6, 3, 7, 4, 1, 4]"
493,"uUI/23@t=(475,485) < 98-_Y@t=(314,753)","[3, 7, 4, 1, 5, 6, 4, 7, 3, 1, 5]"
494,"97+RXuQHRk@t=(831,831) >= DAEsJ_v_x_@t=294","[4, 7, 3, 1, 5, 6, 3, 1, 4]"
495,o_rcjbh@t=239*79 < 61/_HW@t=873,"[3, 1, 4, 7, 4, 6, 4, 7, 3, 1, 4]"
496,86*iWIbIUg_o@t=698 == 51-XgdIbHEue@t=911,"[4, 7, 3, 1, 4, 6, 4, 7, 3, 1, 4]"
497,"max PwXhKLDfo@t=(182,552) != iB_y/47@t=(184,759)","[2, 3, 1, 5, 6, 3, 7, 4, 1, 5]"
498,"_v@t=493-59 < cyj_hkDK-59@t=(430,806)","[3, 1, 4, 7, 4, 6, 3, 7, 4, 1, 5]"
499,"7/zXj__VEDJ_@t=(356,832) > YrhOzc@t=(408,908)**40","[4, 7, 3, 1, 5, 6, 3, 1, 5, 7, 4]"
500,yk_EOmf_@t=658**92 >= erlxhUM_@t=934,"[3, 1, 4, 7, 4, 6, 3, 1, 4]"
501,_i@t=952 < 59**_u@t=432,"[3, 1, 4, 6, 4, 7, 3, 1, 4]"
502,"TF@t=(28,513)/46 == 15-_vsLGk@t=(24,405)","[3, 1, 5, 7, 4, 6, 4, 7, 3, 1, 5]"
503,"all eW_M_M_E@t=(135,378) != all yGID@t=(226,293)","[2, 3, 1, 5, 6, 2, 3, 1, 5]"
504,"Jn_Mzw@t=(230,310) == _lC_BLkw_@t=(11,256)","[3, 1, 5, 6, 3, 1, 5]"
505,"I@t=421 > bdfKG@t=(288,861)","[3, 1, 4, 6, 3, 1, 5]"
506,"FGad@t=(490,756) != 62-_jEFroBM@t=908","[3, 1, 5, 6, 4, 7, 3, 1, 4]"
507,"83+H@t=28 != __vdwEhGI@t=(695,882)","[4, 7, 3, 1, 4, 6, 3, 1, 5]"
508,"FoQ@t=(619,950) >= QKAGqsCeQ@t=830","[3, 1, 5, 6, 3, 1, 4]"
509,"d@t=(227,617) >= 83-kn@t=(611,947)","[3, 1, 5, 6, 4, 7, 3, 1, 5]"
510,"all vKwmHMEJE@t=(759,992) < EH_xOwjUr_/42@t=178","[2, 3, 1, 5, 6, 3, 7, 4, 1, 4]"
511,"2+TCv@t=(192,457) <= ITrZK_LA@t=(324,464)","[4, 7, 3, 1, 5, 6, 3, 1, 5]"
512,"_dOkiia@t=(30,886) < 75-A@t=808","[3, 1, 5, 6, 4, 7, 3, 1, 4]"
513,"TEk_wn_U@t=261**88 != fW@t=(409,954)-7","[3, 1, 4, 7, 4, 6, 3, 1, 5, 7, 4]"
514,__gV@t=999 < BN__l@t=765+74,"[3, 1, 4, 6, 3, 1, 4, 7, 4]"
515,"31**_xFaK_E_Nw@t=241 >= 97**fPK_@t=(563,597)","[4, 7, 3, 1, 4, 6, 4, 7, 3, 1, 5]"
516,m__TdB@t=572-38 == 59-PD_@t=501,"[3, 1, 4, 7, 4, 6, 4, 7, 3, 1, 4]"
517,"srl_keVOsU@t=184 != 65/OGD_DGdxl@t=(292,463)","[3, 1, 4, 6, 4, 7, 3, 1, 5]"
518,8*JMz_eJC@t=482 < v_bkmboT_Z@t=110,"[4, 7, 3, 1, 4, 6, 3, 1, 4]"
519,24*CweCiJs_@t=112 == FxnD_ZtS@t=669-24,"[4, 7, 3, 1, 4, 6, 3, 1, 4, 7, 4]"
520,"max goWhwr@t=(272,733) >= c_s@t=(143,514)","[2, 3, 1, 5, 6, 3, 1, 5]"
521,"_Lfq_pCO@t=(768,911) >= all cG_l_wu__@t=(155,466)","[3, 1, 5, 6, 2, 3, 1, 5]"
522,"U_HB_k@t=(3,633) < NYYzv_B__@t=138","[3, 1, 5, 6, 3, 1, 4]"
523,25+jgvbJhldFd@t=582 > _IiN_dSC@t=902/41,"[4, 7, 3, 1, 4, 6, 3, 1, 4, 7, 4]"
524,"CwY+15@t=(467,974) != 38+qGV__qIXw@t=(5,392)","[3, 7, 4, 1, 5, 6, 4, 7, 3, 1, 5]"
525,"_c_Y_c@t=881 != 9**HUa_ru_QOC@t=(248,399)","[3, 1, 4, 6, 4, 7, 3, 1, 5]"
526,"ec_II_n@t=(466,881)-2 <= eeWkTm@t=672**11","[3, 1, 5, 7, 4, 6, 3, 1, 4, 7, 4]"
527,"BTnez_A@t=(4,862) <= tBzV_tdXY@t=998","[3, 1, 5, 6, 3, 1, 4]"
528,"h*76@t=460 != bv@t=(582,727)*0","[3, 7, 4, 1, 4, 6, 3, 1, 5, 7, 4]"
529,"b_dvD@t=(141,580) == 59*HGwG@t=(22,667)","[3, 1, 5, 6, 4, 7, 3, 1, 5]"
530,"max cv___LA@t=(84,505) >= vpzYi-55@t=516","[2, 3, 1, 5, 6, 3, 7, 4, 1, 4]"
531,"ulJZOSp-74@t=855 <= Q_Ecsi__@t=(340,375)","[3, 7, 4, 1, 4, 6, 3, 1, 5]"
532,"__UgyYen__@t=(520,671) == BfzrNvb-19@t=370","[3, 1, 5, 6, 3, 7, 4, 1, 4]"
533,70*p@t=536 != CI_GyvS/24@t=701,"[4, 7, 3, 1, 4, 6, 3, 7, 4, 1, 4]"
534,"r@t=242-78 == _gr@t=(51,123)","[3, 1, 4, 7, 4, 6, 3, 1, 5]"
535,"RtVh@t=158 <= 46**rV@t=(460,602)","[3, 1, 4, 6, 4, 7, 3, 1, 5]"
536,"mean ku@t=(383,531) <= gTRN@t=107*52","[2, 3, 1, 5, 6, 3, 1, 4, 7, 4]"
537,"BQqPJ@t=844 > 99*U_Jh_Qc_uM@t=(204,980)","[3, 1, 4, 6, 4, 7, 3, 1, 5]"
538,"Xk_u@t=(234,249) >= min _@t=(586,834)","[3, 1, 5, 6, 2, 3, 1, 5]"
539,"38*RzH_@t=975 < ADRI_V_-92@t=(294,787)","[4, 7, 3, 1, 4, 6, 3, 7, 4, 1, 5]"
540,e_d@t=555/29 < Aa@t=474+97,"[3, 1, 4, 7, 4, 6, 3, 1, 4, 7, 4]"
541,"_vfcA@t=215-61 <= SeWNCRX@t=(119,740)","[3, 1, 4, 7, 4, 6, 3, 1, 5]"
542,"TBP@t=(438,453) < _pG_tdGB__@t=(673,694)","[3, 1, 5, 6, 3, 1, 5]"
543,"88**Ltr__aF__@t=(295,368) >= 30/_q_ASg@t=74","[4, 7, 3, 1, 5, 6, 4, 7, 3, 1, 4]"
544,"pZt_DWq@t=192 > CV@t=(98,315)","[3, 1, 4, 6, 3, 1, 5]"
545,"bVs@t=(139,181)/9 >= LNE__X-95@t=(429,486)","[3, 1, 5, 7, 4, 6, 3, 7, 4, 1, 5]"
546,56-QQ_NYzwwxM@t=627 < L-50@t=99,"[4, 7, 3, 1, 4, 6, 3, 7, 4, 1, 4]"
547,xVPQBPyFt-79@t=856 != yB@t=110,"[3, 7, 4, 1, 4, 6, 3, 1, 4]"
548,eSdLPDsi@t=447 != X_bCp_l@t=665,"[3, 1, 4, 6, 3, 1, 4]"
549,LfiEsDG_kq@t=261-33 == _jWw_SXXo@t=104,"[3, 1, 4, 7, 4, 6, 3, 1, 4]"
550,"iYJ@t=249+45 == 34+tmn@t=(104,814)","[3, 1, 4, 7, 4, 6, 4, 7, 3, 1, 5]"
551,"_h@t=(99,110)**50 < _j_IekG@t=219","[3, 1, 5, 7, 4, 6, 3, 1, 4]"
552,"JR@t=293**8 > B@t=(59,806)*31","[3, 1, 4, 7, 4, 6, 3, 1, 5, 7, 4]"
553,"jy_htPuC-23@t=(713,795) > 4-cErO__@t=977","[3, 7, 4, 1, 5, 6, 4, 7, 3, 1, 4]"
554,"58-Az__vEccU@t=(238,805) < _CXnA@t=668","[4, 7, 3, 1, 5, 6, 3, 1, 4]"
555,"hsTzmc+56@t=(2,882) != 21*EG_RlFrW@t=(632,718)","[3, 7, 4, 1, 5, 6, 4, 7, 3, 1, 5]"
556,"zc__m_m@t=(33,660)/97 == DFdblw@t=(10,77)","[3, 1, 5, 7, 4, 6, 3, 1, 5]"
557,"VC@t=247 >= 82*VenvDON@t=(21,174)","[3, 1, 4, 6, 4, 7, 3, 1, 5]"
558,"Lt/36@t=420 < 0+XAzXz_@t=(575,835)","[3, 7, 4, 1, 4, 6, 4, 7, 3, 1, 5]"
559,"plOzqqANo@t=(596,880)-41 >= 42/_bWJ_O_y@t=(191,751)","[3, 1, 5, 7, 4, 6, 4, 7, 3, 1, 5]"
560,"min Q_fFpK_@t=(292,897) == max g_@t=(525,992)","[2, 3, 1, 5, 6, 2, 3, 1, 5]"
561,"88*fNI__@t=43 != 64-_@t=(790,939)","[4, 7, 3, 1, 4, 6, 4, 7, 3, 1, 5]"
562,"Ckkpcojo_B@t=(30,227) <= bjUk@t=3","[3, 1, 5, 6, 3, 1, 4]"
563,"87-_L@t=(676,921) < H@t=814","[4, 7, 3, 1, 5, 6, 3, 1, 4]"
564,k**64@t=715 <= 80-_O@t=523,"[3, 7, 4, 1, 4, 6, 4, 7, 3, 1, 4]"
565,"mean IBpIcH@t=(269,491) > zdzK_brMXP@t=501","[2, 3, 1, 5, 6, 3, 1, 4]"
566,"UO_ZXypF_@t=921**43 >= vVITE_ePZ@t=(195,960)","[3, 1, 4, 7, 4, 6, 3, 1, 5]"
567,"max _tip__@t=(338,792) >= mean gWkDcTv@t=(402,780)","[2, 3, 1, 5, 6, 2, 3, 1, 5]"
568,"19-HHr@t=324 != min d@t=(144,203)","[4, 7, 3, 1, 4, 6, 2, 3, 1, 5]"
569,"all JBh_CVyE_G@t=(111,663) <= 53+v@t=(180,331)","[2, 3, 1, 5, 6, 4, 7, 3, 1, 5]"
570,"r@t=7 == all _s_JZq_I_@t=(335,622)","[3, 1, 4, 6, 2, 3, 1, 5]"
571,"CAWubLAe+73@t=(764,866) >= ROu_roII/1@t=967","[3, 7, 4, 1, 5, 6, 3, 7, 4, 1, 4]"
572,"x@t=687 < min HHfUG@t=(620,785)","[3, 1, 4, 6, 2, 3, 1, 5]"
573,"sF_cQLaEFt@t=(766,772) == PtbzLJK**46@t=(53,650)","[3, 1, 5, 6, 3, 7, 4, 1, 5]"
574,"all fp@t=(88,236) != _*96@t=(130,654)","[2, 3, 1, 5, 6, 3, 7, 4, 1, 5]"
575,"12/_te@t=216 > e_Cuuay_+45@t=(266,569)","[4, 7, 3, 1, 4, 6, 3, 7, 4, 1, 5]"
576,"54**JsGiPd@t=(378,552) != C@t=288","[4, 7, 3, 1, 5, 6, 3, 1, 4]"
577,"dwg@t=709 != FmvdZH_s@t=(246,479)","[3, 1, 4, 6, 3, 1, 5]"
578,ZNcQ@t=626 >= H**11@t=110,"[3, 1, 4, 6, 3, 7, 4, 1, 4]"
579,"_Fn@t=(16,538) == min _VZTS@t=(76,730)","[3, 1, 5, 6, 2, 3, 1, 5]"
580,"10/X_PPA___Oe@t=(359,871) == all _c_@t=(210,434)","[4, 7, 3, 1, 5, 6, 2, 3, 1, 5]"
581,"_xDV@t=135 > all lFo_y_P@t=(528,978)","[3, 1, 4, 6, 2, 3, 1, 5]"
582,"4+eYF_f@t=(73,188) <= 30-_i__unJLin@t=(145,530)","[4, 7, 3, 1, 5, 6, 4, 7, 3, 1, 5]"
583,"40-J@t=(867,876) < 44-k_c@t=(622,762)","[4, 7, 3, 1, 5, 6, 4, 7, 3, 1, 5]"
584,"UA@t=(536,773)**96 != wFd_/58@t=(126,189)","[3, 1, 5, 7, 4, 6, 3, 7, 4, 1, 5]"
585,60*jqgAEP_@t=234 >= fgefSRFqLz@t=668,"[4, 7, 3, 1, 4, 6, 3, 1, 4]"
586,"QIMKeAp@t=735**71 != 24**Hg_fBBa@t=(275,476)","[3, 1, 4, 7, 4, 6, 4, 7, 3, 1, 5]"
587,huidoDGLa_@t=508*2 >= o_KeXM@t=514,"[3, 1, 4, 7, 4, 6, 3, 1, 4]"
588,"_N@t=(588,644)/45 <= rJPtaPZBC*32@t=736","[3, 1, 5, 7, 4, 6, 3, 7, 4, 1, 4]"
589,46+omXB_jNytl@t=8 != _cErS_M@t=581,"[4, 7, 3, 1, 4, 6, 3, 1, 4]"
590,"19/lE@t=(160,407) > dc@t=152","[4, 7, 3, 1, 5, 6, 3, 1, 4]"
591,"55/qOxL_sACv@t=(374,505) >= Rk_HkN@t=(97,980)**92","[4, 7, 3, 1, 5, 6, 3, 1, 5, 7, 4]"
592,"h+64@t=(138,392) < bYy_sC**70@t=756","[3, 7, 4, 1, 5, 6, 3, 7, 4, 1, 4]"
593,"_ff@t=143 == kzXyOprrN@t=(267,858)","[3, 1, 4, 6, 3, 1, 5]"
594,"SrTmSMb@t=(47,128) <= ROodv**71@t=(369,414)","[3, 1, 5, 6, 3, 7, 4, 1, 5]"
595,"h**95@t=(562,792) < NtO@t=(94,588)/67","[3, 7, 4, 1, 5, 6, 3, 1, 5, 7, 4]"
596,"min Tcae_DZ@t=(265,424) == 18/bx_roJ@t=(652,969)","[2, 3, 1, 5, 6, 4, 7, 3, 1, 5]"
597,"24*pjIKA@t=122 <= _l@t=(63,528)","[4, 7, 3, 1, 4, 6, 3, 1, 5]"
598,"__wf@t=(518,559) > TTPkjbPOT/67@t=345","[3, 1, 5, 6, 3, 7, 4, 1, 4]"
599,"53+OEVfNr@t=499 == mean CLTTie@t=(162,393)","[4, 7, 3, 1, 4, 6, 2, 3, 1, 5]"
600,"l*4@t=(119,839) > all zoeab@t=(440,971)","[3, 7, 4, 1, 5, 6, 2, 3, 1, 5]"
601,G_locArxB@t=805 == tT_@t=161+57,"[3, 1, 4, 6, 3, 1, 4, 7, 4]"
602,"g_+1@t=(77,942) != QoVNS@t=810","[3, 7, 4, 1, 5, 6, 3, 1, 4]"
603,"19*_@t=(146,598) < Aw__dGDg*5@t=(412,983)","[4, 7, 3, 1, 5, 6, 3, 7, 4, 1, 5]"
604,33-vCWH@t=376 >= mZwyI*80@t=363,"[4, 7, 3, 1, 4, 6, 3, 7, 4, 1, 4]"
605,"max LIy@t=(527,556) <= 83/ah@t=(478,881)","[2, 3, 1, 5, 6, 4, 7, 3, 1, 5]"
606,"all aJRsACu@t=(624,883) != YQIshRXQR@t=(13,418)","[2, 3, 1, 5, 6, 3, 1, 5]"
607,"NOkS__@t=(355,481) > 57*jdll_fUWKq@t=(227,505)","[3, 1, 5, 6, 4, 7, 3, 1, 5]"
608,"91**QeJRng@t=(233,821) < _If@t=(459,553)+31","[4, 7, 3, 1, 5, 6, 3, 1, 5, 7, 4]"
609,"max V_Kye@t=(6,948) == R_G@t=273","[2, 3, 1, 5, 6, 3, 1, 4]"
610,"qrFckD@t=(631,944)+65 >= mUVzEYbD/29@t=(249,658)","[3, 1, 5, 7, 4, 6, 3, 7, 4, 1, 5]"
611,"X@t=95 <= __K_kfh@t=(763,781)+18","[3, 1, 4, 6, 3, 1, 5, 7, 4]"
612,"Vx_agd@t=285 <= _tchxxK+25@t=(9,444)","[3, 1, 4, 6, 3, 7, 4, 1, 5]"
613,"1**ltw@t=(486,565) <= _K@t=430","[4, 7, 3, 1, 5, 6, 3, 1, 4]"
614,WIh@t=356-8 == 2+X@t=845,"[3, 1, 4, 7, 4, 6, 4, 7, 3, 1, 4]"
615,"DuU@t=(767,947) != eTgDp@t=(564,744)","[3, 1, 5, 6, 3, 1, 5]"
616,"zy**28@t=(302,884) <= 22/ExOw@t=(55,817)","[3, 7, 4, 1, 5, 6, 4, 7, 3, 1, 5]"
617,"36-Sa@t=347 >= 55/zs__BriE@t=(292,602)","[4, 7, 3, 1, 4, 6, 4, 7, 3, 1, 5]"
618,39/St_X@t=890 > 98-xVU__gl@t=133,"[4, 7, 3, 1, 4, 6, 4, 7, 3, 1, 4]"
619,D@t=537 == wn@t=913,"[3, 1, 4, 6, 3, 1, 4]"
620,"max jFlTaPc@t=(471,681) <= U**66@t=269","[2, 3, 1, 5, 6, 3, 7, 4, 1, 4]"
621,yeIG_aT@t=821 < TQPeAZ@t=519,"[3, 1, 4, 6, 3, 1, 4]"
622,32-Kit_Jj@t=242 == 71**oNmOQ@t=815,"[4, 7, 3, 1, 4, 6, 4, 7, 3, 1, 4]"
623,"max _@t=(424,706) <= EfeQd@t=(283,427)","[2, 3, 1, 5, 6, 3, 1, 5]"
624,"_y_T@t=254 <= 84/UNGxLAb_@t=(401,714)","[3, 1, 4, 6, 4, 7, 3, 1, 5]"
625,"HO@t=(16,747)+95 != 34/DGFF_@t=444","[3, 1, 5, 7, 4, 6, 4, 7, 3, 1, 4]"
626,"Q@t=(606,968)**81 < _@t=(190,530)","[3, 1, 5, 7, 4, 6, 3, 1, 5]"
627,"16+w_tMuL_@t=967 >= all D@t=(186,834)","[4, 7, 3, 1, 4, 6, 2, 3, 1, 5]"
628,"n_@t=(816,991) > t_DC_IWR@t=684","[3, 1, 5, 6, 3, 1, 4]"
629,"_HythjhsU_/43@t=504 > GCEFas@t=(97,395)+74","[3, 7, 4, 1, 4, 6, 3, 1, 5, 7, 4]"
630,"17**c__HF_j@t=663 >= zj+30@t=(651,862)","[4, 7, 3, 1, 4, 6, 3, 7, 4, 1, 5]"
631,"Q_PZDkjurl@t=513 < RCIlPl@t=(536,996)","[3, 1, 4, 6, 3, 1, 5]"
632,"0+p_g_jpZI_r@t=(189,583) == _Qxo_uba@t=288","[4, 7, 3, 1, 5, 6, 3, 1, 4]"
633,"rlRjfUAj_f@t=(121,166)-35 == IEAF@t=654","[3, 1, 5, 7, 4, 6, 3, 1, 4]"
634,"B@t=630+80 < rjy*98@t=(46,375)","[3, 1, 4, 7, 4, 6, 3, 7, 4, 1, 5]"
635,"q_iMj_tnp_@t=(17,96)/25 < min zQN@t=(55,469)","[3, 1, 5, 7, 4, 6, 2, 3, 1, 5]"
636,"GC_uf@t=(483,858) <= 89**Rc_TlSg@t=(264,345)","[3, 1, 5, 6, 4, 7, 3, 1, 5]"
637,94*_s@t=705 >= 31**p_@t=342,"[4, 7, 3, 1, 4, 6, 4, 7, 3, 1, 4]"
638,"qfJqtRf@t=(255,620) <= uxrpampd/38@t=(803,883)","[3, 1, 5, 6, 3, 7, 4, 1, 5]"
639,VkHvYSu@t=362+42 >= _*44@t=127,"[3, 1, 4, 7, 4, 6, 3, 7, 4, 1, 4]"
640,"GjEF_@t=303 != _G__noYN@t=(226,993)","[3, 1, 4, 6, 3, 1, 5]"
641,"78-MXtWcv@t=(53,121) <= 49**kG_wL__L@t=871","[4, 7, 3, 1, 5, 6, 4, 7, 3, 1, 4]"
642,14*_Z_aa@t=752 == G+38@t=857,"[4, 7, 3, 1, 4, 6, 3, 7, 4, 1, 4]"
643,"0-xv_@t=(509,725) != 32/G@t=(279,706)","[4, 7, 3, 1, 5, 6, 4, 7, 3, 1, 5]"
644,93/_MIl@t=181 < OCP_oKwO*31@t=637,"[4, 7, 3, 1, 4, 6, 3, 7, 4, 1, 4]"
645,"_**41@t=589 <= e_SkEDboQQ@t=(375,715)","[3, 7, 4, 1, 4, 6, 3, 1, 5]"
646,"_ug/23@t=96 == min xhMQVA_W_@t=(709,913)","[3, 7, 4, 1, 4, 6, 2, 3, 1, 5]"
647,"89**hN_iQ_BKD@t=(799,838) < max DlQw__@t=(339,934)","[4, 7, 3, 1, 5, 6, 2, 3, 1, 5]"
648,"uColLboeL@t=(811,914) == min R@t=(347,579)","[3, 1, 5, 6, 2, 3, 1, 5]"
649,"_ELvHGm_we@t=(205,227)/7 >= 72*u@t=503","[3, 1, 5, 7, 4, 6, 4, 7, 3, 1, 4]"
650,"ozEhaTs_/76@t=88 == 72+VKJYD_@t=(76,469)","[3, 7, 4, 1, 4, 6, 4, 7, 3, 1, 5]"
651,LtMiXYPTG@t=949**14 >= 87*GrrfAPG_iz@t=322,"[3, 1, 4, 7, 4, 6, 4, 7, 3, 1, 4]"
652,"19+QZqGGjDM@t=(422,805) <= mean _WTzZGJZB@t=(368,512)","[4, 7, 3, 1, 5, 6, 2, 3, 1, 5]"
653,"__p-49@t=(418,587) != H_UAgZ@t=54/52","[3, 7, 4, 1, 5, 6, 3, 1, 4, 7, 4]"
654,39/ud_eK@t=520 <= Q@t=103+23,"[4, 7, 3, 1, 4, 6, 3, 1, 4, 7, 4]"
655,"mean BjDUr_p@t=(822,889) == 86*r@t=705","[2, 3, 1, 5, 6, 4, 7, 3, 1, 4]"
656,"g_v+15@t=(160,578) == 17+IA_YST@t=39","[3, 7, 4, 1, 5, 6, 4, 7, 3, 1, 4]"
657,"H_Zone@t=374 == _Al_@t=(236,462)","[3, 1, 4, 6, 3, 1, 5]"
658,"all _ChZQO@t=(389,403) < xzQVMSNdvu@t=(220,400)-57","[2, 3, 1, 5, 6, 3, 1, 5, 7, 4]"
659,"u_izS@t=(206,357) > ItY__k_olz@t=(112,266)","[3, 1, 5, 6, 3, 1, 5]"
660,Df@t=670-96 != WmmR-21@t=193,"[3, 1, 4, 7, 4, 6, 3, 7, 4, 1, 4]"
661,"_u__kE_op@t=(834,995) > oy_____S_@t=622*28","[3, 1, 5, 6, 3, 1, 4, 7, 4]"
662,"21+n@t=(41,546) != _vMNZ_cXm_@t=(793,854)**92","[4, 7, 3, 1, 5, 6, 3, 1, 5, 7, 4]"
663,"_*72@t=835 > 73+__qZ_eRG@t=(172,377)","[3, 7, 4, 1, 4, 6, 4, 7, 3, 1, 5]"
664,"jXvunPrwm**70@t=(287,891) != lc@t=(148,354)-32","[3, 7, 4, 1, 5, 6, 3, 1, 5, 7, 4]"
665,"32/Vrc@t=(699,929) < 5/K_zfq_a@t=941","[4, 7, 3, 1, 5, 6, 4, 7, 3, 1, 4]"
666,usX_@t=918 < e_DFl__@t=981,"[3, 1, 4, 6, 3, 1, 4]"
